ts_utc,strategy_return__mean_reversion_v1,strategy_return__momentum_v1,weight__mean_reversion_v1,weight__momentum_v1,gross_portfolio_return,portfolio_weight_change,portfolio_abs_weight_change,portfolio_turnover,portfolio_rebalance_event,portfolio_changed_sleeve_count,portfolio_transaction_cost,portfolio_fixed_fee,portfolio_slippage_proxy,portfolio_slippage_cost,portfolio_execution_friction,net_portfolio_return,portfolio_return
2025-06-27T04:00:00Z,0.00040399019224819996,0.006699578892916299,0.5,0.5,0.0035517845425822496,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0035517845425822496,0.0,0.0,0.0035517845425822496,0.0035517845425822496
2025-06-30T04:00:00Z,-0.0010479757993599,0.0015279262436135002,0.5,0.5,0.00023997522212680015,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0012879510214867,0.0,0.0,0.00023997522212680015,0.00023997522212680015
2025-07-01T04:00:00Z,1.7211850658394038e-06,0.0034684091391100997,0.5,0.5,0.0017350651620879696,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0017350651620879696,0.0,0.0,0.0017350651620879696,0.0017350651620879696
2025-07-02T04:00:00Z,-0.0008604085405773,0.0007494441018226,0.5,0.5,-5.5482219377350035e-05,0.0,0.0,0.0,0,0.0,0.0,0.0,0.00080492632119995,0.0,0.0,-5.5482219377350035e-05,-5.5482219377350035e-05
2025-07-03T04:00:00Z,-0.0026645498432865994,0.0019918419411120995,0.5,0.5,-0.00033635395108724993,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0023281958921993495,0.0,0.0,-0.00033635395108724993,-0.00033635395108724993
2025-07-07T04:00:00Z,0.0047899609771979,-0.0024761255479419995,0.5,0.5,0.0011569177146279503,0.0,0.0,0.0,0,0.0,0.0,0.0,0.00363304326256995,0.0,0.0,0.0011569177146279503,0.0011569177146279503
2025-07-08T04:00:00Z,0.0044069044681440996,-0.0006801427350571999,0.5,0.5,0.0018633808665434498,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0025435236016006497,0.0,0.0,0.0018633808665434498,0.0018633808665434498
2025-07-09T04:00:00Z,-0.0017135722321539,-0.0013169710419262,0.5,0.5,-0.00151527163704005,0.0,0.0,0.0,0,0.0,0.0,0.0,0.00151527163704005,0.0,0.0,-0.00151527163704005,-0.00151527163704005
2025-07-10T04:00:00Z,-0.0010720825777719,-0.0024772999996141997,0.5,0.5,-0.0017746912886930498,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0017746912886930498,0.0,0.0,-0.0017746912886930498,-0.0017746912886930498
2025-07-11T04:00:00Z,0.0013664140105349,0.0012374850093921,0.5,0.5,0.0013019495099635,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0013019495099635,0.0,0.0,0.0013019495099635,0.0013019495099635
2025-07-14T04:00:00Z,0.0014033485609095,-0.003440883638159599,0.5,0.5,-0.0010187675386250494,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0024221160995345496,0.0,0.0,-0.0010187675386250494,-0.0010187675386250494
2025-07-15T04:00:00Z,0.00022209287814919996,-0.0007047862776120999,0.5,0.5,-0.00024134669973144995,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0004634395778806499,0.0,0.0,-0.00024134669973144995,-0.00024134669973144995
2025-07-16T04:00:00Z,-0.0012722584107467,1.4006061576576914e-05,0.5,0.5,-0.0006291261745850615,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0006431322361616385,0.0,0.0,-0.0006291261745850615,-0.0006291261745850615
2025-07-17T04:00:00Z,-0.0022084976914236,-0.0068165868099338,0.5,0.5,-0.0045125422506787,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0045125422506787,0.0,0.0,-0.0045125422506787,-0.0045125422506787
2025-07-18T04:00:00Z,0.0014722369283436,0.000948289305655,0.5,0.5,0.0012102631169993,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0012102631169993,0.0,0.0,0.0012102631169993,0.0012102631169993
2025-07-21T04:00:00Z,0.0001352761911596,0.0006168639905859001,0.5,0.5,0.0003760700908727501,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0003760700908727501,0.0,0.0,0.0003760700908727501,0.0003760700908727501
2025-07-22T04:00:00Z,0.0029400332525761,-0.0064927647857005,0.5,0.5,-0.0017763657665622,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0047163990191383,0.0,0.0,-0.0017763657665622,-0.0017763657665622
2025-07-23T04:00:00Z,-0.0012715631003583,-0.005084388715694,0.5,0.5,-0.0031779759080261503,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0031779759080261503,0.0,0.0,-0.0031779759080261503,-0.0031779759080261503
2025-07-24T04:00:00Z,-0.000191019962841,-0.005680028916968299,0.5,0.5,-0.0029355244399046497,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0029355244399046497,0.0,0.0,-0.0029355244399046497,-0.0029355244399046497
2025-07-25T04:00:00Z,-0.0018267163163841998,5.9749643697317725e-05,0.5,0.5,-0.0008834833363434411,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0009432329800407587,0.0,0.0,-0.0008834833363434411,-0.0008834833363434411
2025-07-28T04:00:00Z,-0.0012774813019821,-0.0015552966219898002,0.5,0.5,-0.00141638896198595,0.0,0.0,0.0,0,0.0,0.0,0.0,0.00141638896198595,0.0,0.0,-0.00141638896198595,-0.00141638896198595
2025-07-29T04:00:00Z,0.0020087953664661,-0.005895858937226,0.5,0.5,-0.0019435317853799502,0.0,0.0,0.0,0,0.0,0.0,0.0,0.00395232715184605,0.0,0.0,-0.0019435317853799502,-0.0019435317853799502
2025-07-30T04:00:00Z,-0.0010100281218689,-0.0005887722935540999,0.5,0.5,-0.0007994002077114999,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0007994002077114999,0.0,0.0,-0.0007994002077114999,-0.0007994002077114999
2025-07-31T04:00:00Z,-0.0008755025440086001,0.0047725031755542,0.5,0.5,0.0019485003157727998,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0028240028597813997,0.0,0.0,0.0019485003157727998,0.0019485003157727998
2025-08-01T04:00:00Z,0.0018459792491303997,0.0030953576251064995,0.5,0.5,0.0024706684371184496,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0024706684371184496,0.0,0.0,0.0024706684371184496,0.0024706684371184496
2025-08-04T04:00:00Z,0.0009900937139590003,-0.0074027126600409,0.5,0.5,-0.00320630947304095,0.0,0.0,0.0,0,0.0,0.0,0.0,0.00419640318699995,0.0,0.0,-0.00320630947304095,-0.00320630947304095
2025-08-05T04:00:00Z,0.005406137947600499,-0.0033492554393741996,0.5,0.5,0.0010284412541131497,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0043776966934873495,0.0,0.0,0.0010284412541131497,0.0010284412541131497
2025-08-06T04:00:00Z,0.0021024455637301998,-0.0027697448650224,0.5,0.5,-0.00033364965064610003,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0024360952143763,0.0,0.0,-0.00033364965064610003,-0.00033364965064610003
2025-08-07T04:00:00Z,-0.0040756636055782995,0.0019992346642669,0.5,0.5,-0.0010382144706556997,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0030374491349226,0.0,0.0,-0.0010382144706556997,-0.0010382144706556997
2025-08-08T04:00:00Z,-0.0015440218920187002,-0.0001418714687441,0.5,0.5,-0.0008429466803814001,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0008429466803814001,0.0,0.0,-0.0008429466803814001,-0.0008429466803814001
2025-08-11T04:00:00Z,-0.0014073601807068003,4.002810177291538e-05,0.5,0.5,-0.0006836660394669425,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0007236941412398578,0.0,0.0,-0.0006836660394669425,-0.0006836660394669425
2025-08-12T04:00:00Z,-0.0014602111486388,0.0034496410971993994,0.5,0.5,0.0009947149742802997,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0024549261229191,0.0,0.0,0.0009947149742802997,0.0009947149742802997
2025-08-13T04:00:00Z,0.004210043028939701,-0.0027808027358542996,0.5,0.5,0.0007146201465427005,0.0,0.0,0.0,0,0.0,0.0,0.0,0.003495422882397,0.0,0.0,0.0007146201465427005,0.0007146201465427005
2025-08-14T04:00:00Z,0.0015019856516231,-0.0012765782044722002,0.5,0.5,0.0001127037235754499,0.0,0.0,0.0,0,0.0,0.0,0.0,0.00138928192804765,0.0,0.0,0.0001127037235754499,0.0001127037235754499
2025-08-15T04:00:00Z,0.0013952408152951997,-1.6227877065957407e-05,0.5,0.5,0.0006895064691146212,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0007057343461805785,0.0,0.0,0.0006895064691146212,0.0006895064691146212
2025-08-18T04:00:00Z,0.0022731763552687,-0.0006919512041137,0.5,0.5,0.0007906125755774999,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0014825637796912,0.0,0.0,0.0007906125755774999,0.0007906125755774999
2025-08-19T04:00:00Z,-0.0015552563614308005,0.0049349686634477,0.5,0.5,0.0016898561510084497,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0032451125124392504,0.0,0.0,0.0016898561510084497,0.0016898561510084497
2025-08-20T04:00:00Z,0.0023512425851922,-0.000261858810869,0.5,0.5,0.0010446918871616002,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0013065506980306,0.0,0.0,0.0010446918871616002,0.0010446918871616002
2025-08-21T04:00:00Z,-0.0009521134550442999,0.003035040993620801,0.5,0.5,0.0010414637692882506,0.0,0.0,0.0,0,0.0,0.0,0.0,0.00199357722433255,0.0,0.0,0.0010414637692882506,0.0010414637692882506
2025-08-22T04:00:00Z,-0.0003850617962622001,-0.004185282550333701,0.5,0.5,-0.0022851721732979505,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0022851721732979505,0.0,0.0,-0.0022851721732979505,-0.0022851721732979505
2025-08-25T04:00:00Z,0.0007559109251273,0.0008247013287011,0.5,0.5,0.0007903061269142,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0007903061269142,0.0,0.0,0.0007903061269142,0.0007903061269142
2025-08-26T04:00:00Z,0.0016246750050863995,0.0012283911590307997,0.5,0.5,0.0014265330820585997,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0014265330820585997,0.0,0.0,0.0014265330820585997,0.0014265330820585997
2025-08-27T04:00:00Z,-0.0001487751033402,0.000498672168761,0.5,0.5,0.0001749485327104,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0003237236360506,0.0,0.0,0.0001749485327104,0.0001749485327104
2025-08-28T04:00:00Z,-0.000708879892361,0.0030495446095976995,0.5,0.5,0.0011703323586183497,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0018792122509793498,0.0,0.0,0.0011703323586183497,0.0011703323586183497
2025-08-29T04:00:00Z,0.0026421879716430996,-0.007912749140810098,0.5,0.5,-0.002635280584583499,0.0,0.0,0.0,0,0.0,0.0,0.0,0.005277468556226599,0.0,0.0,-0.002635280584583499,-0.002635280584583499
2025-09-02T04:00:00Z,0.00024881729868649993,0.0031178562461613994,0.5,0.5,0.0016833367724239496,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0016833367724239496,0.0,0.0,0.0016833367724239496,0.0016833367724239496
2025-09-03T04:00:00Z,0.0011240020998844,-0.0018533050915008002,0.5,0.5,-0.00036465149580820007,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0014886535956926002,0.0,0.0,-0.00036465149580820007,-0.00036465149580820007
2025-09-04T04:00:00Z,-0.00039820565947270003,-0.0046491672952089,0.5,0.5,-0.0025236864773408,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0025236864773408,0.0,0.0,-0.0025236864773408,-0.0025236864773408
2025-09-05T04:00:00Z,0.0019337971529709002,0.004222210315442201,0.5,0.5,0.0030780037342065503,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0030780037342065503,0.0,0.0,0.0030780037342065503,0.0030780037342065503
2025-09-08T04:00:00Z,-0.001763070736438,-0.0005224439450051,0.5,0.5,-0.00114275734072155,0.0,0.0,0.0,0,0.0,0.0,0.0,0.00114275734072155,0.0,0.0,-0.00114275734072155,-0.00114275734072155
2025-09-09T04:00:00Z,-0.0006910610064103999,-0.004224844689141801,0.5,0.5,-0.0024579528477761004,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0024579528477761004,0.0,0.0,-0.0024579528477761004,-0.0024579528477761004
2025-09-10T04:00:00Z,0.0006925904578848,0.006573739797920499,0.5,0.5,0.0036331651279026497,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0036331651279026497,0.0,0.0,0.0036331651279026497,0.0036331651279026497
2025-09-11T04:00:00Z,0.0033639525166958,-0.0025274573679940006,0.5,0.5,0.0004182475743508998,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0029457049423449004,0.0,0.0,0.0004182475743508998,0.0004182475743508998
2025-09-12T04:00:00Z,-0.0017594816738993003,0.0012577022137409003,0.5,0.5,-0.0002508897300792,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0015085919438201003,0.0,0.0,-0.0002508897300792,-0.0002508897300792
2025-09-15T04:00:00Z,-0.0043960212382303,0.0007705642673331,0.5,0.5,-0.0018127284854486,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0025832927527817,0.0,0.0,-0.0018127284854486,-0.0018127284854486
2025-09-16T04:00:00Z,0.00041634791824460006,0.0016715726339326,0.5,0.5,0.0010439602760886001,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0010439602760886001,0.0,0.0,0.0010439602760886001,0.0010439602760886001
2025-09-17T04:00:00Z,0.0020777734415398995,-0.0030971248850202,0.5,0.5,-0.0005096757217401503,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0025874491632800495,0.0,0.0,-0.0005096757217401503,-0.0005096757217401503
2025-09-18T04:00:00Z,-0.0011246839558305998,0.0041044039029077,0.5,0.5,0.0014898599735385502,0.0,0.0,0.0,0,0.0,0.0,0.0,0.00261454392936915,0.0,0.0,0.0014898599735385502,0.0014898599735385502
2025-09-19T04:00:00Z,-0.0016299130415275997,0.0011047261789915999,0.5,0.5,-0.0002625934312679999,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0013673196102595999,0.0,0.0,-0.0002625934312679999,-0.0002625934312679999
2025-09-22T04:00:00Z,-0.0032567955521080995,5.564979159918826e-05,0.5,0.5,-0.0016005728802544557,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0016562226718536438,0.0,0.0,-0.0016005728802544557,-0.0016005728802544557
2025-09-23T04:00:00Z,0.0034060156924470004,0.0015192508274351002,0.5,0.5,0.00246263325994105,0.0,0.0,0.0,0,0.0,0.0,0.0,0.00246263325994105,0.0,0.0,0.00246263325994105,0.00246263325994105
2025-09-24T04:00:00Z,0.0013030266781589,-0.002800409326015,0.5,0.5,-0.00074869132392805,0.0,0.0,0.0,0,0.0,0.0,0.0,0.00205171800208695,0.0,0.0,-0.00074869132392805,-0.00074869132392805
2025-09-25T04:00:00Z,-0.0036321700938596003,0.005641535510167701,0.5,0.5,0.0010046827081540504,0.0,0.0,0.0,0,0.0,0.0,0.0,0.00463685280201365,0.0,0.0,0.0010046827081540504,0.0010046827081540504
2025-09-26T04:00:00Z,-0.0009228371265720001,0.0017100313747876001,0.5,0.5,0.0003935971241078,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0013164342506798,0.0,0.0,0.0003935971241078,0.0003935971241078
2025-09-29T04:00:00Z,0.0022499537234267,-0.0033094810800118,0.5,0.5,-0.0005297636782925501,0.0,0.0,0.0,0,0.0,0.0,0.0,0.00277971740171925,0.0,0.0,-0.0005297636782925501,-0.0005297636782925501
2025-09-30T04:00:00Z,0.0013486411517470002,-0.0026617380239488003,0.5,0.5,-0.0006565484361009,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0020051895878479002,0.0,0.0,-0.0006565484361009,-0.0006565484361009
2025-10-01T04:00:00Z,-0.006710924331682598,0.010210599102901,0.5,0.5,0.0017498373856092006,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0084607617172918,0.0,0.0,0.0017498373856092006,0.0017498373856092006
2025-10-02T04:00:00Z,0.0014904164099494002,0.0006906149597232002,0.5,0.5,0.0010905156848363003,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0010905156848363003,0.0,0.0,0.0010905156848363003,0.0010905156848363003
